"Contract_date";"Package";"Gender";"Age";"Marital_Status";"Living_Condition";"Graduation";"Job_Type";"Income";"Peak_minute_09";"Weekend_minute_09";"Offpeak_minute_09";"Offpeak_nr_09";"Peak_nr_09";"Weekend_nr_09";"Selfnet_minute_09";"Fixed_minute_09";"Othermob_minute_09";"Voicemail_nr_09";"Voicemail_minute_09";"SMS_09";"Peak_minute_10";"Weekend_minute_10";"Offpeak_minute_10";"Offpeak_nr_10";"Peak_nr_10";"Weekend_nr_10";"Selfnet_minute_10";"Fixed_minute_10";"Othermob_minute_10";"Voicemail_nr_10";"Voicemail_minute_10";"SMS_10";"Peak_minute_11";"Weekend_minute_11";"Offpeak_minute_11";"Offpeak_nr_11";"Peak_nr_11";"Weekend_nr_11";"Selfnet_minute_11";"Fixed_minute_11";"Othermob_minute_11";"Voicemail_nr_11";"Voicemail_minute_11";"SMS_11";"Peak_minute_12";"Weekend_minute_12";"Offpeak_minute_12";"Offpeak_nr_12";"Peak_nr_12";"Weekend_nr_12";"Selfnet_minute_12";"Fixed_minute_12";"Othermob_minute_12";"Voicemail_nr_12";"Voicemail_minute_12";"SMS_12";"churn?";"Cust_ID"
9/20/04 12:00 AM;"PACK_B";"Male";42.0;"Married";"Owner";"University";"Leader";"15_30k";0.55;0.28;0.0;0.0;2.0;1.0;0.83;0.0;0.0;3.0;0.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"0";"ID0020614"
2/12/05 12:00 AM;"PACK_B";"Female";53.0;"Married";"Owner";"University";"Public_Employee";"Below_15k";11.32;6.53;6.98;26.0;37.0;19.0;6.7;8.02;10.12;21.0;21.9;58.0;25.7;5.28;15.38;52.0;77.0;32.0;11.07;12.8;22.5;30.0;37.33;128.0;25.33;0.0;7.6;51.0;49.0;20.0;1.83;14.52;16.58;36.0;32.93;83.0;11.95;3.6;4.28;25.0;40.0;25.0;0.93;6.2;12.7;21.0;19.83;66.0;"0";"ID0029505"
10/19/04 12:00 AM;"PACK_X";"Male";43.0;"Married";"Owner";"Highschool";"Executive";"30_60k";78.05;3.9;8.43;5.0;103.0;9.0;19.67;2.83;67.88;116.0;90.38;1.0;24.3;15.53;2.63;9.0;40.0;16.0;17.15;1.68;23.35;65.0;42.47;0.0;55.27;1.27;1.75;7.0;64.0;4.0;6.63;15.45;36.2;74.0;58.28;1.0;9.97;8.65;4.23;3.0;22.0;18.0;2.98;0.38;9.4;31.0;22.07;12.0;"0";"ID0050206"
10/31/04 12:00 AM;"PACK_B";"Male";32.0;"Married";"Owner";"Highschool";"Labourer";"15_30k";0.08;0.0;0.0;0.0;1.0;0.0;0.08;0.0;0.0;1.0;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"0";"ID0050343"
11/19/04 12:00 AM;"PACK_B";"Female";31.0;"Married";"Owner";"Highschool";"Public_Employee";"30_60k";20.68;13.87;33.27;49.0;30.0;26.0;37.9;0.53;23.02;79.0;67.82;26.0;42.08;24.48;31.1;39.0;56.0;28.0;65.58;1.53;26.1;100.0;97.67;23.0;31.52;28.27;28.37;33.0;48.0;46.0;50.8;0.62;31.17;103.0;86.7;21.0;49.68;35.9;29.45;69.0;78.0;47.0;71.17;2.13;31.05;121.0;111.4;64.0;"0";"ID0050688"
11/8/04 12:00 AM;"PACK_B";"Female";37.0;"Married";"Owner";"Highschool";"Public_Employee";"Below_15k";37.75;6.35;20.53;22.0;48.0;11.0;29.92;19.68;8.37;81.0;64.63;0.0;67.45;12.42;14.35;12.0;47.0;15.0;71.4;13.2;4.0;73.0;94.22;1.0;48.85;10.82;24.67;11.0;54.0;16.0;41.32;26.32;2.42;77.0;83.78;3.0;47.08;10.32;9.43;9.0;45.0;15.0;41.97;15.97;4.73;72.0;78.83;8.0;"0";"ID0050787"
11/13/04 12:00 AM;"PACK_B";"Male";40.0;"Married";"Owner";"University";"Public_Employee";"15_30k";1.48;15.17;53.55;39.0;6.0;15.0;39.02;0.0;31.18;54.0;70.2;6.0;13.53;37.82;41.78;17.0;12.0;24.0;52.98;0.0;40.15;50.0;93.13;3.0;10.53;13.85;30.35;27.0;13.0;14.0;20.77;0.0;29.52;41.0;50.28;11.0;28.82;38.87;67.3;28.0;17.0;20.0;45.87;0.0;67.67;51.0;113.53;10.0;"0";"ID0050942"
4/10/05 12:00 AM;"PACK_Z";"Female";52.0;"Married";"Owner";"Highschool";"Public_Employee";"15_30k";0.12;0.0;0.0;0.0;1.0;0.0;0.12;0.0;0.0;1.0;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"0";"ID0052142"
2/27/05 12:00 AM;"PACK_E";"Male";46.0;"Married";"Owner";"Highschool";"Public_Employee";"15_30k";1.23;1.38;2.28;2.0;4.0;3.0;2.32;0.0;1.48;9.0;4.9;0.0;4.63;0.0;1.0;8.0;8.0;1.0;5.1;0.38;0.15;15.0;5.63;2.0;7.72;2.5;0.15;1.0;15.0;5.0;3.62;0.0;1.77;20.0;8.87;0.0;4.4;1.17;2.05;8.0;6.0;4.0;6.97;0.13;0.73;20.0;7.83;1.0;"0";"ID0052429"
9/11/05 12:00 AM;"PACK_Z";"Male";23.0;"Married";"Owner";"Highschool";"Labourer";"30_60k";12.18;14.0;7.25;9.0;14.0;7.0;25.83;2.77;5.2;31.0;33.8;0.0;4.4;0.88;11.7;6.0;1.0;1.0;10.3;6.73;0.0;9.0;17.03;0.0;11.18;9.05;8.22;5.0;6.0;5.0;12.28;15.42;2.82;18.0;30.52;0.0;6.25;13.27;8.35;7.0;7.0;10.0;18.27;15.55;3.4;30.0;37.22;0.0;"0";"ID0054233"
